CODGEO;LIBGEO;DATE_ARRETE;NB__voiture_rechargeable;NB_Voiture;Population_totale;Superficie;M�diane_niveau_vie;Pop_15_64_ans;Nombre_borne;Puissance
69095;GRÉZIEU-LE-MARCHÉ;31/03/2025;12;875;829;11,49;22700;540;#N/A;#N/A
69096;GRIGNY;31/03/2025;216;10307;9851;5,75;21900;6254;4;7
69097;LES HAIES;31/03/2025;27;961;756;15,97;25590;497;#N/A;#N/A
69098;LES HALLES;31/03/2025;15;601;488;3,09;22970;318;#N/A;#N/A
69099;HAUTE-RIVOIRE;31/03/2025;29;1511;1431;20,29;22560;863;#N/A;#N/A
69100;IRIGNY;31/03/2025;338;9693;8867;8,84;25740;5354;4;29
69102;JOUX;31/03/2025;19;847;751;25,18;23230;496;#N/A;#N/A
69103;JULIÉNAS;31/03/2025;35;1089;885;7,56;23260;551;#N/A;#N/A
69104;JULLIÉ;31/03/2025;11;512;475;9,88;22170;280;#N/A;#N/A
69105;LACENAS;31/03/2025;58;1158;1027;3,36;27670;652;#N/A;#N/A
69106;LACHASSAGNE;31/03/2025;293;1586;1264;3,53;32050;734;#N/A;#N/A
69107;LAMURE-SUR-AZERGUES;31/03/2025;33;1229;1055;15,61;23260;641;#N/A;#N/A
69108;LANCIÉ;31/03/2025;31;1065;1062;6,6;24230;653;#N/A;#N/A
69109;LANTIGNIÉ;31/03/2025;23;957;854;7,4;24990;517;#N/A;#N/A
69110;LARAJASSE;31/03/2025;44;2198;1834;33,61;22970;1156;#N/A;#N/A
69111;LÉGNY;31/03/2025;32;728;691;3,97;26900;444;#N/A;#N/A
69112;LENTILLY;31/03/2025;371;6687;6508;18,39;29630;4154;#N/A;#N/A
69113;LÉTRA;31/03/2025;41;996;903;14,64;24730;553;#N/A;#N/A
69115;LIMAS;31/03/2025;253;5427;4790;5,52;24720;2801;35;65,625
69116;LIMONEST;31/03/2025;2415;15388;3838;8,39;34510;2360;71;66,64444444
69117;LISSIEU;31/03/2025;289;3782;3188;5,66;33180;1945;5;14
69118;LOIRE-SUR-RHÔNE;31/03/2025;88;2853;2698;16,6;24520;1644;#N/A;#N/A
69119;LONGES;31/03/2025;29;1094;964;24,06;23880;629;#N/A;#N/A
69120;LONGESSAIGNE;31/03/2025;15;737;595;11,92;23030;356;#N/A;#N/A
69121;LOZANNE;31/03/2025;146;3298;3031;5,5;26930;1861;#N/A;#N/A
69122;LUCENAY;31/03/2025;83;2070;2051;6,27;28690;1275;#N/A;#N/A
69123;LYON ;31/03/2025;16253;377507;522250;47,87;25430;365824;489;73,42055253
69124;MARCHAMPT;31/03/2025;11;537;455;17,74;21820;273;#N/A;#N/A
69125;MARCILLY-D'AZERGUES;31/03/2025;75;1091;942;4,18;30530;549;#N/A;#N/A
69126;MARCY;31/03/2025;54;905;842;3,33;30160;490;#N/A;#N/A
69127;MARCY-L'ÉTOILE;31/03/2025;250;3780;3644;5,37;29680;2313;2;24
69130;MEAUX-LA-MONTAGNE;31/03/2025;1;248;229;9,19;24390;125;#N/A;#N/A
69131;MESSIMY;31/03/2025;172;4131;3543;11,1;27280;2275;2;22
69132;MEYS;31/03/2025;12;888;850;14,65;22000;530;#N/A;#N/A
69133;MILLERY;31/03/2025;241;4369;4350;9,22;30670;2630;#N/A;#N/A
69134;MOIRÉ;31/03/2025;14;282;233;2,03;30920;134;#N/A;#N/A
69135;DEUX-GROSNES;31/03/2025;41;2172;1914;83,6;21080;1146;#N/A;#N/A
69136;MONTAGNY;31/03/2025;197;3501;3200;8,3;27760;1885;11;19,27
69137;MONTMELAS-SAINT-SORLIN;31/03/2025;17;502;532;4,24;27240;304;#N/A;#N/A
69138;MONTROMANT;31/03/2025;21;513;446;10,99;22850;269;#N/A;#N/A
69139;MONTROTTIER;31/03/2025;55;1629;1386;23,1;23730;822;#N/A;#N/A
69140;MORANCÉ;31/03/2025;105;2304;2176;9,25;29600;1321;#N/A;#N/A
69141;MORNANT;31/03/2025;290;6727;6274;15,76;27260;3736;#N/A;#N/A
69142;LA MULATIÈRE;31/03/2025;108;5938;6595;1,82;22750;3992;4;29
69143;NEUVILLE-SUR-SAÔNE;31/03/2025;232;7994;7721;5,47;23150;4547;2;24
69145;ODENAS;31/03/2025;31;898;938;9,02;23900;542;14;22
69148;ORLIÉNAS;31/03/2025;123;2782;2590;10,42;30280;1618;#N/A;#N/A
69149;OULLINS;31/03/2025;417;22056;37628;8,88;23260;24221;41;44,12666667
69151;LE PERRÉON;31/03/2025;57;1638;1488;14,58;24720;936;#N/A;#N/A
69152;PIERRE-BÉNITE;31/03/2025;204;10221;#N/A;#N/A;#N/A;#N/A;17;50,86
69153;POLEYMIEUX-AU-MONT-D'OR;31/03/2025;88;1167;1403;6,21;35970;1003;2;7,36
69154;POLLIONNAY;31/03/2025;111;2616;2974;15,8;28690;1750;2;22
69155;POMEYS;31/03/2025;35;1187;1132;13,1;25480;685;#N/A;#N/A
69156;POMMIERS;31/03/2025;159;2482;2657;7,76;30730;1609;#N/A;#N/A
69157;VINDRY-SUR-TURDINE;31/03/2025;201;5764;5282;23,87;25190;3137;9;22
